"","LF.Season","LF.Name","LF.Team.x","LF.G","LF.AB","LF.PA","LF.H","LF.B1","LF.B2","LF.B3","LF.HR","LF.R","LF.RBI","LF.BB","LF.IBB","LF.SO","LF.HBP","LF.SF","LF.SH","LF.GDP","LF.SB","LF.CS","LF.AVG","LF.BB_perc","LF.K_perc","LF.ISO","LF.BABIP","LF.OBP","LF.SLG","LF.wOBA","LF.wRC.","LF.BsR","LF.Off","LF.WAR","LF.Team.y","LF.Position","LF.score","LF.perPA","LF.perAB"
"11",2023,"Bryan Reynolds","PIT",145,574,640,151,91,31,5,24,85,84,53,2,138,7,6,0,13,12,1,0.263,0.083,0.216,0.197,0.304,0.33,0.46,0.338,110,1.9,9.9,2.3,"PIT","LF",362,0.565625,0.630662020905923
"12",2023,"Randy Arozarena","TBR",151,551,654,140,95,19,3,23,95,83,80,1,156,18,5,0,10,22,10,0.254,0.122,0.239,0.171,0.31,0.364,0.425,0.347,126,1.8,22.1,3.3,"TBR","LF",359,0.548929663608563,0.651542649727768
"13",2023,"TJ Friedl","CIN",138,488,556,136,88,22,8,18,73,66,47,1,90,10,3,8,0,27,6,0.279,0.085,0.162,0.189,0.308,0.352,0.467,0.353,116,9.1,20.4,4.4,"CIN","LF",352,0.633093525179856,0.721311475409836
"14",2023,"Masataka Yoshida","BOS",140,537,580,155,104,33,3,15,71,72,34,0,81,7,2,0,20,8,0,0.289,0.059,0.14,0.156,0.316,0.338,0.445,0.339,109,-5,1.6,0.6,"BOS","LF",343,0.591379310344828,0.638733705772812
"15",2023,"Lourdes Gurriel Jr.","ARI",145,551,592,144,83,35,2,24,65,82,33,1,103,6,2,0,20,5,0,0.261,0.056,0.174,0.201,0.282,0.309,0.463,0.329,106,-3.2,0.9,2.1,"ARI","LF",338,0.570945945945946,0.613430127041742
"16",2023,"Jeff McNeil","NYM",156,585,648,158,119,25,4,10,75,55,39,0,65,18,3,3,5,10,0,0.27,0.06,0.1,0.108,0.288,0.333,0.378,0.314,100,1.7,2,2.6,"NYM","LF",335,0.516975308641975,0.572649572649573
"17",2023,"Josh Lowe","TBR",135,466,501,136,81,33,2,20,71,83,31,2,124,1,3,0,6,32,3,0.292,0.062,0.248,0.208,0.357,0.335,0.5,0.354,131,7,25.6,3.8,"TBR","LF",328,0.654690618762475,0.703862660944206
"18",2023,"Whit Merrifield","TOR",145,547,592,149,111,27,0,11,66,67,36,2,101,3,6,0,15,26,10,0.272,0.061,0.171,0.11,0.313,0.318,0.382,0.304,93,1,-3.8,1.5,"TOR","LF",305,0.515202702702703,0.557586837294333
"19",2023,"Andrew Benintendi","CHW",151,562,621,147,106,34,2,5,72,45,52,5,89,3,3,1,12,13,2,0.262,0.084,0.143,0.094,0.301,0.326,0.356,0.299,87,2.3,-7.2,0,"CHW","LF",298,0.479871175523349,0.530249110320285
"20",2023,"J.D. Martinez","LAD",113,432,479,117,55,27,2,33,61,103,34,1,149,2,9,0,11,1,0,0.271,0.071,0.311,0.301,0.324,0.321,0.572,0.369,135,-3.6,17.2,2.2,"LAD","LF",298,0.622129436325679,0.689814814814815
"21",2023,"Lars Nootbaar","STL",117,426,503,111,73,23,1,14,74,46,72,2,99,1,3,1,7,11,1,0.261,0.143,0.197,0.157,0.307,0.367,0.418,0.344,118,2.2,13.5,3.2,"STL","LF",284,0.564612326043738,0.666666666666667
"22",2023,"Bryan De La Cruz","MIA",153,579,626,149,98,32,0,19,60,78,40,0,142,1,5,0,18,4,1,0.257,0.064,0.227,0.154,0.307,0.304,0.411,0.309,92,-2.7,-9.2,0.2,"MIA","LF",278,0.44408945686901,0.48013816925734
"23",2023,"Austin Hays","BAL",144,520,566,143,89,36,2,16,76,67,38,1,141,3,5,0,11,5,1,0.275,0.067,0.249,0.169,0.345,0.325,0.444,0.33,112,-3.9,4.3,2.2,"BAL","LF",277,0.489399293286219,0.532692307692308
"24",2023,"Tommy Pham","2 Tms",129,426,481,109,63,27,3,16,55,68,47,1,106,2,6,0,11,22,3,0.256,0.098,0.22,0.19,0.3,0.328,0.446,0.332,110,3.1,9.2,1.8,"2 Tms","LF",277,0.575883575883576,0.650234741784038
"25",2023,"LaMonte Wade Jr.","SFG",135,429,519,110,77,14,2,17,64,45,76,3,95,6,4,4,4,2,0,0.256,0.146,0.183,0.161,0.29,0.373,0.417,0.347,122,-0.2,13.7,2.1,"SFG","LF",274,0.527938342967245,0.638694638694639
"26",2023,"James Outman","LAD",151,483,567,120,78,16,3,23,86,70,68,1,181,12,4,0,4,16,3,0.248,0.12,0.319,0.188,0.343,0.353,0.437,0.344,118,5.7,18.6,4.4,"LAD","LF",271,0.477954144620811,0.561076604554865
"27",2023,"Nolan Jones","COL",106,367,424,109,63,22,4,20,60,62,53,3,126,3,1,0,1,20,4,0.297,0.125,0.297,0.245,0.401,0.389,0.542,0.395,135,3,21.4,3.7,"COL","LF",271,0.639150943396226,0.73841961852861
"28",2023,"Mauricio Dubón","HOU",132,467,492,130,91,26,3,10,76,46,19,0,70,3,3,0,10,7,2,0.278,0.039,0.142,0.133,0.308,0.309,0.411,0.311,97,0.1,-1.6,1.9,"HOU","LF",270,0.548780487804878,0.578158458244111
"29",2023,"Eddie Rosario","ATL",142,478,516,122,74,24,3,21,64,74,34,1,122,1,2,1,13,3,4,0.255,0.066,0.236,0.195,0.3,0.305,0.45,0.322,100,-1.6,-1.8,1.4,"ATL","LF",269,0.521317829457364,0.562761506276151
"30",2023,"Mark Canha","2 Tms",139,435,507,114,77,25,1,11,51,62,49,1,79,17,6,0,11,11,1,0.262,0.097,0.156,0.138,0.293,0.355,0.4,0.333,111,0.9,7.7,1.6,"2 Tms","LF",269,0.530571992110454,0.618390804597701
"31",2023,"Chas McCormick","HOU",115,403,457,110,69,17,2,22,59,70,40,0,117,11,2,1,3,19,6,0.273,0.088,0.256,0.216,0.331,0.353,0.489,0.362,133,1.7,19.7,3.8,"HOU","LF",268,0.586433260393873,0.665012406947891
"32",2023,"Harold Ramírez","TBR",122,400,434,125,92,19,2,12,58,68,22,0,79,6,6,0,7,5,3,0.313,0.051,0.182,0.148,0.359,0.353,0.46,0.349,128,1.5,16,1.8,"TBR","LF",258,0.594470046082949,0.645
"33",2023,"Jack Suwinski","PIT",144,447,534,100,51,21,2,26,63,74,75,2,172,6,6,0,2,13,2,0.224,0.14,0.322,0.23,0.29,0.339,0.454,0.341,112,5,13.2,2.8,"PIT","LF",258,0.48314606741573,0.577181208053691
