"","CF.Season","CF.Name","CF.Team.x","CF.G","CF.AB","CF.PA","CF.H","CF.B1","CF.B2","CF.B3","CF.HR","CF.R","CF.RBI","CF.BB","CF.IBB","CF.SO","CF.HBP","CF.SF","CF.SH","CF.GDP","CF.SB","CF.CS","CF.AVG","CF.BB_perc","CF.K_perc","CF.ISO","CF.BABIP","CF.OBP","CF.SLG","CF.wOBA","CF.wRC.","CF.BsR","CF.Off","CF.WAR","CF.Team.y","CF.Position","CF.score","CF.perPA","CF.perAB"
"44",2023,"Luke Raley","TBR",118,357,406,89,44,23,3,19,56,49,28,0,128,18,2,1,2,14,3,0.249,0.069,0.315,0.241,0.33,0.333,0.49,0.353,130,3.8,18.4,2.6,"TBR","CF",194,0.477832512315271,0.543417366946779
"45",2023,"Mike Trout","LAA",82,308,362,81,48,14,1,18,54,44,45,2,104,7,2,0,4,2,0,0.263,0.124,0.287,0.227,0.335,0.367,0.49,0.368,134,1.8,16.6,3,"LAA","CF",194,0.535911602209945,0.62987012987013
"46",2023,"Jazz Chisholm Jr.","MIA",97,352,383,88,55,12,2,19,50,51,26,0,118,2,2,1,4,22,3,0.25,0.068,0.308,0.207,0.318,0.304,0.457,0.325,103,3.8,5.1,1.9,"MIA","CF",192,0.501305483028721,0.545454545454545
"47",2023,"Jesús Sánchez","MIA",125,360,402,91,51,23,3,14,43,52,38,1,107,2,1,1,12,3,1,0.253,0.095,0.266,0.197,0.321,0.327,0.45,0.334,109,-2,2.2,1.3,"MIA","CF",192,0.477611940298507,0.533333333333333
"48",2023,"Adam Duvall","BOS",92,320,353,79,32,24,2,21,45,58,22,1,110,6,5,0,0,4,0,0.247,0.062,0.312,0.284,0.299,0.303,0.531,0.347,116,3,9.7,1.9,"BOS","CF",190,0.538243626062323,0.59375
"49",2023,"Riley Greene","DET",99,378,416,109,75,19,4,11,51,37,35,0,114,1,2,0,7,7,0,0.288,0.084,0.274,0.159,0.384,0.349,0.447,0.344,119,1.4,11.1,2.3,"DET","CF",185,0.444711538461538,0.489417989417989
"50",2023,"Chris Taylor","LAD",117,338,384,80,49,15,1,15,51,56,41,2,125,4,1,0,2,16,3,0.237,0.107,0.326,0.183,0.327,0.326,0.42,0.323,104,3.3,5.4,1.9,"LAD","CF",183,0.4765625,0.541420118343195
"51",2023,"Jose Siri","TBR",101,338,364,75,35,13,2,25,58,56,20,0,130,2,3,1,5,12,3,0.222,0.055,0.357,0.272,0.269,0.267,0.494,0.319,106,4.2,7,2.7,"TBR","CF",183,0.502747252747253,0.541420118343195
"52",2023,"Myles Straw","CLE",147,462,518,110,88,18,3,1,52,29,42,0,97,2,6,6,10,20,6,0.238,0.081,0.187,0.058,0.295,0.301,0.297,0.268,69,4.2,-15,0.4,"CLE","CF",183,0.353281853281853,0.396103896103896
"53",2023,"Will Benson","CIN",108,287,329,79,45,15,8,11,51,31,40,0,103,1,1,0,3,19,3,0.275,0.122,0.313,0.223,0.391,0.365,0.498,0.369,128,1.9,13.1,1.7,"CIN","CF",181,0.550151975683891,0.630662020905923
"54",2023,"Alex Call","WSN",128,375,439,75,52,14,1,8,43,38,53,0,78,6,2,3,1,9,8,0.2,0.121,0.178,0.107,0.23,0.307,0.307,0.28,73,0.3,-14.7,0.4,"WSN","CF",180,0.41002277904328,0.48
"55",2023,"Jarred Kelenic","SEA",105,372,416,94,56,25,2,11,44,49,41,4,132,1,2,0,6,13,5,0.253,0.099,0.317,0.167,0.359,0.327,0.419,0.321,108,0.4,4.2,1.3,"SEA","CF",175,0.420673076923077,0.470430107526882
"56",2023,"Alek Thomas","ARI",125,374,402,86,55,17,5,9,51,39,19,1,86,4,3,2,5,9,1,0.23,0.047,0.214,0.144,0.273,0.273,0.374,0.278,71,3.7,-10.6,0.5,"ARI","CF",173,0.430348258706468,0.462566844919786
"57",2023,"Harrison Bader","2 Tms",98,319,344,74,53,12,2,7,44,40,17,0,59,3,4,1,7,20,3,0.232,0.049,0.172,0.116,0.261,0.274,0.348,0.271,70,4.4,-8.1,1.1,"2 Tms","CF",173,0.502906976744186,0.542319749216301
"58",2023,"Jorge Mateo","BAL",116,318,350,69,46,14,2,7,58,34,22,0,82,1,3,5,8,32,5,0.217,0.063,0.234,0.123,0.267,0.267,0.34,0.265,67,4.3,-9.5,0.5,"BAL","CF",172,0.491428571428571,0.540880503144654
"59",2023,"Nick Senzel","CIN",104,301,330,71,48,10,0,13,49,42,26,0,74,1,2,0,9,6,2,0.236,0.079,0.224,0.163,0.269,0.297,0.399,0.302,83,1.4,-5.8,-0.4,"CIN","CF",169,0.512121212121212,0.561461794019934
"60",2023,"Manuel Margot","TBR",99,311,336,82,56,21,1,4,39,38,18,0,55,4,3,0,6,9,3,0.264,0.054,0.164,0.113,0.306,0.31,0.376,0.299,93,-1.7,-4.5,0.4,"TBR","CF",166,0.494047619047619,0.533762057877814
"61",2023,"Michael A. Taylor","MIN",129,355,388,78,42,14,1,21,48,51,26,0,130,3,1,3,7,13,1,0.22,0.067,0.335,0.223,0.278,0.278,0.442,0.308,96,2.3,0.2,1.7,"MIN","CF",165,0.425257731958763,0.464788732394366
"62",2023,"Aaron Hicks","2 Tms",93,269,312,68,50,9,1,8,44,36,42,1,69,0,1,0,3,6,0,0.253,0.135,0.221,0.13,0.311,0.353,0.383,0.326,109,3.2,6.7,1,"2 Tms","CF",163,0.522435897435897,0.605947955390335
"63",2023,"Akil Baddoo","DET",112,312,357,68,43,13,1,11,40,34,42,2,89,0,1,2,4,14,3,0.218,0.118,0.249,0.154,0.268,0.31,0.372,0.299,88,2.9,-2.2,0.9,"DET","CF",159,0.445378151260504,0.509615384615385
"64",2023,"Isiah Kiner-Falefa","NYY",115,326,361,79,60,12,1,6,39,37,28,0,70,3,3,1,12,14,5,0.242,0.078,0.194,0.098,0.289,0.306,0.34,0.286,82,-2.6,-10.5,0.2,"NYY","CF",159,0.440443213296399,0.487730061349693
"65",2023,"Travis Jankowski","TEX",107,247,287,65,51,12,1,1,34,30,35,0,42,2,2,1,6,19,1,0.263,0.122,0.146,0.069,0.311,0.357,0.332,0.312,95,0.4,-1.3,1,"TEX","CF",158,0.550522648083624,0.639676113360324
"66",2023,"Kyle Isbel","KCR",91,292,313,70,41,22,2,5,45,34,17,0,59,1,2,1,5,7,1,0.24,0.054,0.188,0.14,0.283,0.282,0.38,0.286,75,4.2,-5.1,1.1,"KCR","CF",155,0.495207667731629,0.530821917808219
"67",2023,"Joey Wiemer","MIL",132,367,410,75,43,19,0,13,48,42,36,0,116,5,2,0,4,11,4,0.204,0.088,0.283,0.158,0.258,0.283,0.362,0.284,75,0.9,-11.8,1.1,"MIL","CF",154,0.375609756097561,0.419618528610354
"68",2023,"Ji Hwan Bae","PIT",111,334,371,77,56,17,2,2,54,32,30,0,92,2,2,3,4,24,9,0.231,0.081,0.248,0.081,0.31,0.296,0.311,0.272,66,2.9,-12.7,-0.3,"PIT","CF",152,0.409703504043127,0.455089820359281
"69",2023,"Ramón Laureano","2 Tms",105,361,404,81,50,18,4,9,46,35,33,0,114,9,1,0,9,12,1,0.224,0.082,0.282,0.147,0.301,0.304,0.371,0.298,91,-1,-5.3,1,"2 Tms","CF",146,0.361386138613861,0.404432132963989
"70",2023,"Mickey Moniak","LAA",85,311,323,87,50,21,2,14,35,45,9,1,113,3,0,0,4,6,3,0.28,0.028,0.35,0.215,0.397,0.307,0.495,0.339,114,0,5.4,1.5,"LAA","CF",137,0.424148606811146,0.440514469453376
"71",2023,"Jake Meyers","HOU",112,309,341,70,43,16,1,10,42,33,26,0,88,5,1,0,2,5,2,0.227,0.076,0.258,0.155,0.283,0.296,0.382,0.297,88,2.5,-2.6,1.7,"HOU","CF",136,0.398826979472141,0.440129449838188
"72",2023,"Tyrone Taylor","MIL",81,231,243,54,26,17,1,10,36,35,8,0,55,3,1,0,10,9,0,0.234,0.033,0.226,0.212,0.263,0.267,0.446,0.302,88,1.4,-2.3,0.8,"MIL","CF",136,0.559670781893004,0.588744588744589
"73",2023,"Jake McCarthy","ARI",99,276,312,67,53,7,5,2,37,16,26,0,62,5,1,4,4,26,4,0.243,0.083,0.199,0.083,0.305,0.318,0.326,0.289,79,4.1,-4.2,0.1,"ARI","CF",133,0.426282051282051,0.481884057971014
"74",2023,"Joshua Palacios","PIT",91,247,264,59,38,9,2,10,26,40,12,0,56,2,1,2,7,5,0,0.239,0.045,0.212,0.174,0.269,0.279,0.413,0.297,83,-1.1,-6.8,0,"PIT","CF",129,0.488636363636364,0.522267206477733
"75",2023,"JJ Bleday","OAK",82,256,303,50,29,11,0,10,35,27,42,0,72,2,3,0,3,5,1,0.195,0.139,0.238,0.16,0.226,0.31,0.355,0.297,92,1,-2.1,0.1,"OAK","CF",128,0.422442244224422,0.5
"76",2023,"Nelson Velázquez","2 Tms",53,162,179,38,15,6,0,17,35,34,14,0,51,2,1,0,3,0,0,0.235,0.078,0.285,0.352,0.221,0.302,0.586,0.369,132,0.2,7.2,0.7,"CHC","CF",127,0.709497206703911,0.783950617283951
"77",2023,"Brenton Doyle","COL",126,399,431,81,50,16,5,10,48,48,22,0,151,4,3,3,9,22,5,0.203,0.051,0.35,0.14,0.295,0.25,0.343,0.257,43,3,-27.6,0.9,"COL","CF",126,0.292343387470998,0.315789473684211
"78",2023,"Drew Waters","KCR",98,302,337,69,45,11,5,8,40,32,27,0,107,5,3,0,4,16,5,0.228,0.08,0.318,0.149,0.321,0.3,0.377,0.296,82,1.8,-5.5,0.8,"KCR","CF",122,0.362017804154303,0.403973509933775
"79",2023,"Sal Frelick","MIL",57,191,223,47,34,9,1,3,29,24,28,0,37,1,3,0,2,7,0,0.246,0.126,0.166,0.105,0.286,0.341,0.351,0.309,92,3.6,1.5,1.4,"MIL","CF",118,0.52914798206278,0.617801047120419
"80",2023,"Rob Refsnyder","BOS",89,202,243,50,39,9,1,1,31,28,33,0,47,5,1,1,8,7,2,0.248,0.136,0.193,0.069,0.316,0.365,0.317,0.314,93,-1.4,-3.5,0.2,"BOS","CF",116,0.477366255144033,0.574257425742574
"81",2023,"Stuart Fairchild","CIN",97,219,255,50,27,16,2,5,34,28,25,0,69,6,2,3,2,10,3,0.228,0.098,0.271,0.16,0.306,0.321,0.388,0.312,89,2.3,-1.1,0.7,"CIN","CF",113,0.443137254901961,0.515981735159817
"82",2023,"Joey Gallo","MIN",111,282,332,50,19,9,1,21,39,40,48,1,142,2,0,0,3,1,1,0.177,0.145,0.428,0.262,0.244,0.301,0.44,0.32,104,1,2.5,0.7,"MIN","CF",111,0.33433734939759,0.393617021276596
"83",2023,"Tyler O'Neill","STL",72,238,266,55,32,14,0,9,27,21,28,0,67,0,0,0,5,5,0,0.231,0.105,0.252,0.172,0.284,0.312,0.403,0.313,97,-0.8,-1.7,0.8,"STL","CF",110,0.413533834586466,0.46218487394958
"84",2023,"Dylan Carlson","STL",76,219,255,48,34,8,1,5,27,27,26,0,49,7,3,0,4,3,0,0.219,0.102,0.192,0.114,0.256,0.318,0.333,0.293,84,0.1,-5,0.2,"STL","CF",107,0.419607843137255,0.488584474885845
"85",2023,"Luis Matos","SFG",76,228,253,57,41,13,1,2,24,14,20,0,33,3,0,2,3,3,0,0.25,0.079,0.13,0.092,0.285,0.319,0.342,0.295,87,-0.9,-5.1,-0.4,"SFG","CF",106,0.41897233201581,0.464912280701754
"86",2023,"Kevin Pillar","ATL",81,197,206,45,26,10,0,9,29,32,6,0,50,0,3,0,2,4,1,0.228,0.029,0.243,0.188,0.255,0.248,0.416,0.28,71,1.1,-6.2,0.1,"ATL","CF",103,0.5,0.522842639593909
