,SS.Season,SS.Name,SS.Team.x,SS.G,SS.AB,SS.PA,SS.H,SS.B1,SS.B2,SS.B3,SS.HR,SS.R,SS.RBI,SS.BB,SS.IBB,SS.SO,SS.HBP,SS.SF,SS.SH,SS.GDP,SS.SB,SS.CS,SS.AVG,SS.BB_perc,SS.K_perc,SS.ISO,SS.BABIP,SS.OBP,SS.SLG,SS.wOBA,SS.wRC.,SS.BsR,SS.Off,SS.WAR,SS.Team.y,SS.Position,SS.score,SS.perPA,SS.perAB
52,2023,Nicky Lopez,2 Tms,94,225,262,52,40,8,3,1,32,25,26,0,40,6,1,4,3,6,2,0.231,0.099,0.153,0.076,0.276,0.326,0.307,0.288,77,0.3,-7.1,1.1,2 Tms,SS,118,0.450381679,0.524444444
53,2023,Santiago Espinal,TOR,93,230,254,57,41,14,0,2,30,25,18,1,36,3,1,2,5,2,1,0.248,0.071,0.142,0.087,0.285,0.31,0.335,0.285,80,0.4,-5.6,0.1,TOR,SS,117,0.460629921,0.508695652
54,2023,Oswaldo Cabrera,NYY,115,298,330,63,47,11,0,5,35,29,25,1,72,2,2,3,6,8,0,0.211,0.076,0.218,0.087,0.26,0.275,0.299,0.256,60,1.4,-14.3,-0.6,NYY,SS,115,0.348484848,0.38590604
55,2023,Paul DeJong,3 Tms,112,372,400,77,50,13,0,14,41,38,21,0,121,5,2,0,10,4,4,0.207,0.053,0.303,0.148,0.264,0.258,0.355,0.266,66,-3.8,-20.4,0.3,3 Tms,SS,115,0.2875,0.309139785
56,2023,Pablo Reyes,BOS,64,167,185,48,37,9,0,2,27,20,14,0,21,0,2,2,3,7,2,0.287,0.076,0.114,0.09,0.315,0.339,0.377,0.315,93,0.9,-0.7,0.5,BOS,SS,110,0.594594595,0.658682635
57,2023,Aledmys Díaz,OAK,109,315,344,72,47,20,1,4,25,24,17,2,66,7,4,1,14,1,0,0.229,0.049,0.192,0.108,0.273,0.28,0.337,0.268,72,-3.1,-14.8,-0.4,OAK,SS,109,0.316860465,0.346031746
58,2023,Brandon Crawford,SFG,94,283,320,55,36,11,1,7,31,38,28,1,81,4,4,1,5,3,0,0.194,0.088,0.253,0.12,0.241,0.273,0.314,0.26,63,0.9,-13.7,0.4,SFG,SS,109,0.340625,0.385159011
59,2023,Nick Allen,OAK,106,303,329,67,57,4,2,4,29,20,17,0,52,1,2,6,8,5,1,0.221,0.052,0.158,0.066,0.253,0.263,0.287,0.245,55,-0.2,-17.9,-0.1,OAK,SS,106,0.32218845,0.349834983
60,2023,Nick Maton,DET,93,249,293,43,26,9,0,8,29,32,38,1,73,3,2,1,4,1,2,0.173,0.13,0.249,0.133,0.206,0.288,0.305,0.268,67,-0.6,-12.2,-1.1,DET,SS,104,0.354948805,0.417670683
61,2023,Gio Urshela,LAA,62,214,228,64,53,8,1,2,22,24,10,0,36,1,3,0,9,3,2,0.299,0.044,0.158,0.075,0.346,0.329,0.374,0.307,92,-1.7,-4,0.4,LAA,SS,103,0.451754386,0.481308411
62,2023,Garrett Hampson,MIA,98,221,252,61,45,12,1,3,30,23,23,0,67,3,2,3,3,5,0,0.276,0.091,0.266,0.104,0.379,0.349,0.38,0.323,101,1.8,2.1,0.7,MIA,SS,98,0.388888889,0.443438914
63,2023,Joey Wendle,MIA,112,297,318,63,42,16,3,2,33,20,13,0,67,2,3,3,8,7,1,0.212,0.041,0.211,0.094,0.264,0.248,0.306,0.242,47,0.2,-20.7,-0.8,MIA,SS,97,0.305031447,0.326599327
64,2023,Zack Short,DET,112,221,253,45,29,9,0,7,17,33,28,0,66,0,1,3,3,5,0,0.204,0.111,0.261,0.136,0.255,0.292,0.339,0.281,76,-0.6,-8,-0.2,DET,SS,92,0.363636364,0.416289593
65,2023,Alan Trejo,COL,83,207,227,48,33,11,0,4,24,26,16,0,51,1,2,1,3,5,1,0.232,0.07,0.225,0.111,0.286,0.288,0.343,0.277,56,0.5,-11.8,-0.2,COL,SS,91,0.400881057,0.439613527
66,2023,Gabriel Arias,CLE,122,315,345,66,41,15,0,10,36,26,28,0,113,1,1,0,9,3,4,0.21,0.081,0.328,0.143,0.29,0.275,0.352,0.276,74,-1.7,-12.4,0.4,CLE,SS,91,0.263768116,0.288888889
67,2023,Casey Schmitt,SFG,90,253,277,52,32,15,0,5,28,30,13,0,65,5,3,3,7,2,1,0.206,0.047,0.235,0.119,0.253,0.255,0.324,0.254,59,-2,-16,-0.6,SFG,SS,90,0.324909747,0.355731225
68,2023,Tucupita Marcano,PIT,75,202,220,47,30,12,2,3,16,18,10,0,35,3,2,3,2,5,2,0.233,0.045,0.159,0.124,0.265,0.276,0.356,0.275,68,0.1,-8.6,-0.4,PIT,SS,86,0.390909091,0.425742574
69,2023,Christian Arroyo,BOS,66,195,206,47,28,16,0,3,23,24,7,0,45,1,2,1,8,1,3,0.241,0.034,0.218,0.128,0.295,0.268,0.369,0.274,65,-2.3,-11,-0.4,BOS,SS,82,0.398058252,0.420512821
