"","RF.Season","RF.Name","RF.Team.x","RF.G","RF.AB","RF.PA","RF.H","RF.B1","RF.B2","RF.B3","RF.HR","RF.R","RF.RBI","RF.BB","RF.IBB","RF.SO","RF.HBP","RF.SF","RF.SH","RF.GDP","RF.SB","RF.CS","RF.AVG","RF.BB_perc","RF.K_perc","RF.ISO","RF.BABIP","RF.OBP","RF.SLG","RF.wOBA","RF.wRC.","RF.BsR","RF.Off","RF.WAR","RF.Team.y","RF.Position","RF.score","RF.perPA","RF.perAB"
"62",2023,"Zach McKinstry","DET",148,464,518,107,73,21,4,9,60,35,44,0,113,5,3,2,3,16,6,0.231,0.085,0.218,0.121,0.284,0.302,0.351,0.289,81,1.7,-10,1.2,"DET","RF",205,0.395752895752896,0.441810344827586
"63",2023,"Robbie Grossman","TEX",115,353,420,84,50,23,1,10,56,49,57,0,98,2,8,0,8,1,0,0.238,0.136,0.233,0.156,0.292,0.34,0.394,0.323,102,1.3,2.4,0.4,"TEX","RF",204,0.485714285714286,0.577903682719547
"64",2023,"Mike Yastrzemski","SFG",106,330,381,77,38,23,1,15,54,43,45,3,99,3,1,2,5,2,2,0.233,0.118,0.26,0.212,0.286,0.33,0.445,0.333,112,0.2,5.9,1.8,"SFG","RF",195,0.511811023622047,0.590909090909091
"65",2023,"Luke Raley","TBR",118,357,406,89,44,23,3,19,56,49,28,0,128,18,2,1,2,14,3,0.249,0.069,0.315,0.241,0.33,0.333,0.49,0.353,130,3.8,18.4,2.6,"TBR","RF",194,0.477832512315271,0.543417366946779
"66",2023,"Andy Ibáñez","DET",114,356,383,94,58,23,2,11,42,41,24,0,69,1,1,1,7,1,0,0.264,0.063,0.18,0.169,0.3,0.312,0.433,0.32,103,-0.2,1.1,1.6,"DET","RF",193,0.503916449086162,0.542134831460674
"67",2023,"Ryan Noda","OAK",128,406,495,93,54,22,1,16,63,54,77,1,170,10,2,0,4,3,1,0.229,0.156,0.343,0.177,0.347,0.364,0.406,0.342,123,-0.3,13.1,2,"OAK","RF",193,0.38989898989899,0.475369458128079
"68",2023,"Jesús Sánchez","MIA",125,360,402,91,51,23,3,14,43,52,38,1,107,2,1,1,12,3,1,0.253,0.095,0.266,0.197,0.321,0.327,0.45,0.334,109,-2,2.2,1.3,"MIA","RF",192,0.477611940298507,0.533333333333333
"69",2023,"Adam Duvall","BOS",92,320,353,79,32,24,2,21,45,58,22,1,110,6,5,0,0,4,0,0.247,0.062,0.312,0.284,0.299,0.303,0.531,0.347,116,3,9.7,1.9,"BOS","RF",190,0.538243626062323,0.59375
"70",2023,"Riley Greene","DET",99,378,416,109,75,19,4,11,51,37,35,0,114,1,2,0,7,7,0,0.288,0.084,0.274,0.159,0.384,0.349,0.447,0.344,119,1.4,11.1,2.3,"DET","RF",185,0.444711538461538,0.489417989417989
"71",2023,"Will Benson","CIN",108,287,329,79,45,15,8,11,51,31,40,0,103,1,1,0,3,19,3,0.275,0.122,0.313,0.223,0.391,0.365,0.498,0.369,128,1.9,13.1,1.7,"CIN","RF",181,0.550151975683891,0.630662020905923
"72",2023,"Alex Call","WSN",128,375,439,75,52,14,1,8,43,38,53,0,78,6,2,3,1,9,8,0.2,0.121,0.178,0.107,0.23,0.307,0.307,0.28,73,0.3,-14.7,0.4,"WSN","RF",180,0.41002277904328,0.48
"73",2023,"Giancarlo Stanton","NYY",101,371,415,71,34,13,0,24,43,60,41,3,124,2,1,0,11,0,0,0.191,0.099,0.299,0.229,0.21,0.275,0.42,0.297,89,-5.2,-10.8,-0.8,"NYY","RF",179,0.431325301204819,0.482479784366577
"74",2023,"Jarred Kelenic","SEA",105,372,416,94,56,25,2,11,44,49,41,4,132,1,2,0,6,13,5,0.253,0.099,0.317,0.167,0.359,0.327,0.419,0.321,108,0.4,4.2,1.3,"SEA","RF",175,0.420673076923077,0.470430107526882
"75",2023,"Alec Burleson","STL",107,315,347,77,48,20,1,8,34,36,23,0,45,3,2,1,13,3,1,0.244,0.066,0.13,0.146,0.261,0.3,0.39,0.3,89,-4.7,-9.5,-0.9,"STL","RF",174,0.501440922190202,0.552380952380952
"76",2023,"Nick Senzel","CIN",104,301,330,71,48,10,0,13,49,42,26,0,74,1,2,0,9,6,2,0.236,0.079,0.224,0.163,0.269,0.297,0.399,0.302,83,1.4,-5.8,-0.4,"CIN","RF",169,0.512121212121212,0.561461794019934
"77",2023,"Manuel Margot","TBR",99,311,336,82,56,21,1,4,39,38,18,0,55,4,3,0,6,9,3,0.264,0.054,0.164,0.113,0.306,0.31,0.376,0.299,93,-1.7,-4.5,0.4,"TBR","RF",166,0.494047619047619,0.533762057877814
"78",2023,"Aaron Hicks","2 Tms",93,269,312,68,50,9,1,8,44,36,42,1,69,0,1,0,3,6,0,0.253,0.135,0.221,0.13,0.311,0.353,0.383,0.326,109,3.2,6.7,1,"BAL","RF",163,0.522435897435897,0.605947955390335
"79",2023,"Akil Baddoo","DET",112,312,357,68,43,13,1,11,40,34,42,2,89,0,1,2,4,14,3,0.218,0.118,0.249,0.154,0.268,0.31,0.372,0.299,88,2.9,-2.2,0.9,"DET","RF",159,0.445378151260504,0.509615384615385
"80",2023,"Isiah Kiner-Falefa","NYY",115,326,361,79,60,12,1,6,39,37,28,0,70,3,3,1,12,14,5,0.242,0.078,0.194,0.098,0.289,0.306,0.34,0.286,82,-2.6,-10.5,0.2,"NYY","RF",159,0.440443213296399,0.487730061349693
"81",2023,"Cavan Biggio","TOR",111,289,338,68,47,12,0,9,54,40,40,0,88,7,2,0,0,5,2,0.235,0.118,0.26,0.135,0.304,0.34,0.37,0.318,103,2.2,3.3,1,"TOR","RF",158,0.467455621301775,0.546712802768166
"82",2023,"Travis Jankowski","TEX",107,247,287,65,51,12,1,1,34,30,35,0,42,2,2,1,6,19,1,0.263,0.122,0.146,0.069,0.311,0.357,0.332,0.312,95,0.4,-1.3,1,"TEX","RF",158,0.550522648083624,0.639676113360324
"83",2023,"Seth Brown","OAK",112,343,378,76,42,19,1,14,33,52,30,1,101,2,2,1,6,3,1,0.222,0.079,0.267,0.184,0.27,0.286,0.405,0.298,92,-1.8,-5.4,0,"OAK","RF",157,0.415343915343915,0.457725947521866
"84",2023,"Joey Wiemer","MIL",132,367,410,75,43,19,0,13,48,42,36,0,116,5,2,0,4,11,4,0.204,0.088,0.283,0.158,0.258,0.283,0.362,0.284,75,0.9,-11.8,1.1,"MIL","RF",154,0.375609756097561,0.419618528610354
"85",2023,"Alex Kirilloff","MIN",88,281,319,76,50,14,1,11,35,41,28,1,80,7,3,0,2,1,0,0.27,0.088,0.251,0.174,0.337,0.348,0.445,0.343,120,0.8,8.4,0.8,"MIN","RF",151,0.473354231974922,0.537366548042705
"86",2023,"Patrick Wisdom","CHC",97,268,302,55,23,8,1,23,43,46,30,0,111,2,1,1,4,4,2,0.205,0.099,0.368,0.295,0.237,0.289,0.5,0.333,109,0.3,3.8,0.7,"CHC","RF",146,0.483443708609272,0.544776119402985
"87",2023,"Ramón Laureano","2 Tms",105,361,404,81,50,18,4,9,46,35,33,0,114,9,1,0,9,12,1,0.224,0.082,0.282,0.147,0.301,0.304,0.371,0.298,91,-1,-5.3,1,"2 Tms","RF",146,0.361386138613861,0.404432132963989
"88",2023,"Matt Wallner","MIN",76,213,254,53,27,11,1,14,42,41,28,1,80,13,0,0,1,2,1,0.249,0.11,0.315,0.258,0.328,0.37,0.507,0.377,144,1.6,14.8,1.9,"MIN","RF",142,0.559055118110236,0.666666666666667
"89",2023,"Starling Marte","NYM",86,315,341,78,65,7,1,5,38,28,16,1,69,8,0,2,8,24,4,0.248,0.047,0.202,0.076,0.303,0.301,0.324,0.278,76,4.1,-6,-0.3,"NYM","RF",140,0.410557184750733,0.444444444444444
"90",2023,"Kris Bryant","COL",80,300,335,70,50,10,0,10,36,31,29,0,68,6,0,0,6,0,0,0.233,0.087,0.203,0.133,0.27,0.313,0.367,0.302,73,-2.2,-13.5,-1.2,"COL","RF",138,0.411940298507463,0.46
"91",2023,"Mickey Moniak","LAA",85,311,323,87,50,21,2,14,35,45,9,1,113,3,0,0,4,6,3,0.28,0.028,0.35,0.215,0.397,0.307,0.495,0.339,114,0,5.4,1.5,"LAA","RF",137,0.424148606811146,0.440514469453376
"92",2023,"Tyrone Taylor","MIL",81,231,243,54,26,17,1,10,36,35,8,0,55,3,1,0,10,9,0,0.234,0.033,0.226,0.212,0.263,0.267,0.446,0.302,88,1.4,-2.3,0.8,"MIL","RF",136,0.559670781893004,0.588744588744589
"93",2023,"Gavin Sheets","CHW",118,311,344,63,43,10,0,10,24,43,28,2,66,1,4,0,6,1,0,0.203,0.081,0.192,0.129,0.222,0.267,0.331,0.261,61,-0.3,-16.4,-1.4,"CHW","RF",135,0.392441860465116,0.434083601286174
"94",2023,"Stone Garrett","WSN",89,234,271,63,37,17,0,9,40,40,26,0,82,3,5,0,6,3,1,0.269,0.096,0.303,0.188,0.365,0.343,0.457,0.344,115,0.5,5.6,1.2,"WSN","RF",134,0.494464944649447,0.572649572649573
"95",2023,"Jake McCarthy","ARI",99,276,312,67,53,7,5,2,37,16,26,0,62,5,1,4,4,26,4,0.243,0.083,0.199,0.083,0.305,0.318,0.326,0.289,79,4.1,-4.2,0.1,"ARI","RF",133,0.426282051282051,0.481884057971014
